ID,duration_sec,distance_m
0xcdcd,1707,16807.7
0xd987,786.9,8857.7
0x2784,1119.3,21384.3
0xc8b6,498.5,4828.3
0xdb64,1461,23478.8
0x3af3,1174.2,21224.3
0x3aab,673.3,8704.4
0x689b,1430.2,22474.2
0xc9cf,574.8,5835.3
0x36b8,1222.5,16554.6
0x5795,1852.4,24945
0x6c6b,156.8,2059.6
0xb816,2049.8,24765.7
0x539b,678.7,8941.9
0xa1b2,1478.3,17193.5
0x3231,472.1,6016.8
0x8bc0,1002.1,15763.9
0x2288,1013.4,17042.9
0x3c5e,1320.6,20522.9
0x3e60,654.7,6837.8
0xbff,625.4,8914.1
0xd936,1050.6,12172.6
0xd681,754.1,9305.2
0x30c8,1337.7,26086.5
0xb843,1094.8,19154
0xb3a0,596.7,8479.3
0x6531,143.5,1908.2
0x4bda,458.6,5198.9
0x9d26,448,4689.3
0x9b18,985.6,12395.7
0x5d99,1156,13842.8
0xb796,1626.6,19080.9
0x85b4,1704.3,31910.3
0xc644,475.4,4762.3
0x6999,657.1,13217.7
0x63b6,730.1,11425.7
0xa30b,609.5,9523
0x3556,95.9,1493.2
0x5554,663.3,7949.3
0x25fd,1591.8,23904.9
0x7ac8,1105.1,17919.7
0x3da1,675.8,11287.9
0x272d,1454.4,23380.5
0xddc5,1124.5,16788
0x8aa2,2127.2,23866.2
0xb55a,463.5,5884.7
0x73cc,858.9,15004.7
0xbe80,2423.1,35438.4
0x1609,854.1,8594.7
0xd255,279.9,3397.2
0xde72,1630.1,14710.2
0xa258,1422,16587.7
0x8b53,541.4,7958.8
0xbbde,477.3,6886.9
0x4b7f,1416.1,15311.9
0xb962,1059.1,17001.5
0x633c,1042.3,17293
0x2dc6,580.4,8861.5
0x903a,1205,21453.4
0x1fb7,1439,23176.8
0x34d7,2423.1,35438.4
0x156b,368.6,3947.3
0x56ad,943.6,13754.2
0xcbc4,700.5,8382.3
0xc19e,1287.2,13933.2
0x1d60,409.5,2319.2
0x95fb,1668.1,24533.8
0x8195,258.3,3055.4
0x6d19,308.6,4274.3
0x35e6,1043.6,18904.7
0x97e3,1045.6,14755
0xa3e0,1265,22476.6
0x4161,892.8,9463.2
0x1236,718.8,9038.8
0x2558,1839.9,24810.7
0x3185,420.3,5735.3
0x3c57,2119,41094.3
0x4863,301.6,2538.1
0x6757,319.4,4300.1
0x22ad,1000.4,18385.4
0x9f99,1190.3,19958.9
0x6781,2284.2,31457.7
0x1b8d,309.3,4377.8
0x1aea,1551,27574.6
0x1e42,1336,21865
0xddc8,952.8,9656.7
